Label,Text
Safe,"MobileMoney: “Payment made for GHS [AMOUNT] to xxx Current Balance: GHS [AMOUNT] . Available Balance: GHS [AMOUNT]. Reference: [REFERENCE]. Transaction ID: 77548638899. Fee charged: GHS [AMOUNT] Tax charged: [AMOUNT]. Download the MoMo App for a Faster & Easier Experience. Click here: https://bit.ly/downloadMyMoMo"""
Safe,"MobileMoney: “Payment made for GHS [AMOUNT] to xxx Current Balance: GHS [AMOUNT] . Available Balance: GHS [AMOUNT]. Reference: [REFERENCE]. Transaction ID: 77548638899. Fee charged: GHS [AMOUNT] Tax charged: [AMOUNT]. Download the MoMo App for a Faster & Easier Experience. Click here: https://bit.ly/downloadMyMoMo"""
Safe,MobileMoney: “Payment received for GHS [AMOUNT] from [NAME]. Current Balance: GHS [AMOUNT]. Available Balance: GHS [AMOUNT]. Reference: [REFERENCE]. Transaction ID: 9987714522041. TRANSACTION FEE: [AMOUNT].”
Safe,MobileMoney: “Payment received for GHS [AMOUNT] from [NAME]. Current Balance: GHS [AMOUNT]. Available Balance: GHS [AMOUNT]. Reference: [REFERENCE]. Transaction ID: 9987714522041. TRANSACTION FEE: [AMOUNT].”
Safe,"MTN: “Y'ello Valued Customer, MTN will be undertaking a planned system upgrade to improve customer experience. As a result, you will be unable to buy bundles from 12am to 5am on 30/3/2026. We sincerely apologize for any inconvenience this may cause. Thank you.”"
Safe,Telecel: “Send money to any Bank account with Telecel Cash. Simply Dial *110# Choose Option 1 then Option 3 to start.”
Safe,"MobileMoney: “Your payment of GHS [AMOUNT] to TELECEL PUSH has been completed at 2026-03-11 11:01:37. Your new balance: GHS [AMOUNT]. Fee was GHS [AMOUNT] Tax was GHS -. Reference: Xc. Financial Transaction Id: 76959716928. External Transaction Id: 76959716928. Download the MoMo App for a Faster & Easier Experience Click here: https://bit.ly/"""
Safe,"MTN: “Y’ello! You have successfully purchased GHS [AMOUNT] Data Bundle and received 837.55 MB. This bundle does not expire. 50% 4G bonus valid for 3 days. Subscribe to auto-renewal to bundle again when it runs out. Buy your bundle on myMTN app, clickhttps://mymtn.onelink.me/cB5t/myMTN to install myMTN app and get Free 500MB.”"
Safe,"Telecel: ""Did you know you can unlock your Telecel Cash PIN without contacting the Call Centre or a Retail Shop? Just dial *110#, choose option 7 for Self Service, option 1 to Change/Reset/Unlock PIN; then option 3 to Unlock PIN. Remember, to keep your account secure, avoid using your date of birth, phone number, or simple sequences like '1234' as your PIN. Thank you.”"
Safe,"Telecel: ""Almost out of data and want to stay online? Use your balance to get 780MB for only GHS 5 and stay connected for the next 3 days. Dial *700*1*3# now to subscribe!”"
Safe,"Telecel: ""Turn your Red Coins into unforgettable moments this upcoming holiday and weekend! Enjoy 20% off at Papaye Recreational Village, Aburi. Dial *533# or visit https://bit.ly/TelecelPlayGhana  to claim your discount now. Hurry don't miss out! Ts and Cs apply.”"
Safe,"Telecel: ""Start the year on a smarter note. Get a Jumbo Bundle and enjoy MORE data at a better value. 250GB for GHs400 9.9GB for GHs100. 33GB for GHs200. 99GB for GHs300. Dial *700*1*2# to buy now!”"
Safe,"Telecel: ""Why pay more when bundles cost less? Dial *700*1# and enroll on our GHs1 for 50MB Non expiry bundle now and enjoy!”"
Safe,"Telecel: ""This festive season, stay close to those who matter. Dial *110#, option 3 to buy 200 call minutes to all networks for 7 days. Don't miss out - subscribe now!”"
Safe,"Telecel: ""Missed yesterday's offer? We've got you! Get a 6GB for as low as GHS10 today Don't be left out! Dial *530# to buy now.”"
Safe,"Telecel: ""Telecel Rewards You! Use your 1,350 Red Coins to enjoy a 15% discount at PIZZAMAN/CHICKENMAN. Delicious savings made possible by RED LOYALTY Coins. Dial *533# or tap https://bit.ly/TelecelPlayGhana to redeem the discount. Ts and Cs apply”"
Safe,T-CASH: “0000012600962106 confirmed. Your bundle purchase request of GHS 7.00 on 2026-04-05 has been received at 07:09:12. Kindly wait for confirmation. Your new Telecel Cash balance is GHS [AMOUNT].”
